feat,importance
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified,0.4750066793931151
K07492,0.47471827400295125
K06878,0.47438169087945103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,0.47326366673950954
K02190,0.4727679723946465
K09155,0.47137121521336445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_unclassified,0.46935243619372785
K19092,0.4666054836834494
K00986,0.4635998388403078
K02346,0.4620500679666275
K20852,0.4617197746629223
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,0.45974483498866564
K01520,0.4594940118950018
K02071,0.4590327234782278
K07464,0.45682595161451717
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45,0.4559417677683044
K01552,0.4547146292097731
K18475,0.45329300524462973
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0.45155481959954974
K19423,0.4490786777769225
K02994,0.4477450126159939
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,0.4453717124415534
K02422,0.44484428307623397
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,0.4441726362456377
K07483,0.4436012336518588
K21498,0.4411554776670504
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_KLE_1745,0.4410296805435745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,0.4396343179832878
K01246,0.4371225138747816
K16698,0.4358687934618474
K16926,0.43424120471172367
K18231,0.43397821541293224
K07447,0.4332334860519005
K07458,0.432803883462836
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0.4327965759623558
K03517,0.4314769686097842
K07341,0.4310989511268396
K05988,0.42946208329544616
K19055,0.42729305021566455
K10439,0.4264703634835291
K26041,0.4256008146776369
K02199,0.42492062261225977
K15986,0.4248785044783271
K01176,0.42405140617154147
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,0.42386716113014494
